StimuliName,User_OldOrNew,Correct_OldOrNew,Correct_Image_x,Correct_Image_y,OldOrNew_RT,StudyStartTime,OldOrNewStartTime,participant,date,expName,psychopyVersion,frameRate,
238,New,New,N/A,N/A,1.75,N/A,10:32:56.083145,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
22,New,New,N/A,N/A,0.75,N/A,10:32:59.336152,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
36,New,Old,0.60667,0.078,0.75,10:29:40.798511,10:33:01.589414,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
113,New,Old,-0.78,0.39,0.95,10:31:00.804184,10:33:03.841592,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
125,New,New,N/A,N/A,0.69,N/A,10:33:06.294214,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
102,New,Old,-0.78,0.078,0.58,10:30:15.804113,10:33:08.480084,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
142,New,Old,0.43333,-0.078,0.54,10:30:55.815327,10:33:10.565730,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
202,New,New,N/A,N/A,0.84,N/A,10:33:12.601341,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
68,New,Old,-0.60667,-0.39,0.64,10:31:05.809715,10:33:14.937351,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
79,New,Old,0.26,-0.234,0.64,10:31:10.815276,10:33:17.072970,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
108,Old,Old,0.43333,-0.39,0.79,10:28:40.798547,10:33:19.208561,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
166,New,Old,0.78,0.39,0.99,10:31:55.815346,10:33:21.494684,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
196,New,Old,0.26,-0.078,1.2,10:30:05.809656,10:33:23.980681,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
94,Old,Old,-0.78,-0.078,0.6,10:31:50.810073,10:33:26.683680,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
20,Old,Old,-0.43333,-0.39,0.58,10:32:10.815344,10:33:28.786039,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
5,New,Old,0.60667,0.39,1.02,10:29:25.798470,10:33:30.871723,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
208,Old,Old,-0.26,-0.078,1.07,10:31:45.804209,10:33:33.391129,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
229,New,Old,0.43333,-0.234,0.63,10:32:15.804281,10:33:35.960983,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
50,New,Old,0.60667,0.234,0.72,10:30:35.809655,10:33:38.096414,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
188,New,New,N/A,N/A,0.55,N/A,10:33:40.315549,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
84,New,New,N/A,N/A,0.69,N/A,10:33:42.367840,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
240,New,New,N/A,N/A,0.7,N/A,10:33:44.553874,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
45,New,Old,-0.43333,0.234,0.7,10:29:55.798503,10:33:46.755999,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
35,Old,Old,0.60667,-0.234,0.95,10:29:10.798438,10:33:48.958487,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
77,Old,Old,0.43333,0.234,0.69,10:32:25.815370,10:33:51.411195,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
211,New,Old,0.08667,0.39,0.99,10:31:20.809742,10:33:53.596936,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
133,Old,New,N/A,N/A,0.94,N/A,10:33:56.083323,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
130,Old,Old,0.60667,-0.39,1.52,10:30:25.798568,10:33:58.519109,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
185,New,Old,-0.78,0.234,0.92,10:29:30.804006,10:34:01.539128,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
193,Old,Old,0.78,-0.39,0.93,10:31:40.815367,10:34:03.958487,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
15,New,New,N/A,N/A,0.9,N/A,10:34:06.394367,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
194,New,New,N/A,N/A,1.74,N/A,10:34:08.797195,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
87,New,New,N/A,N/A,0.83,N/A,10:34:12.034124,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
222,New,Old,-0.78,-0.39,0.82,10:32:00.804299,10:34:14.370075,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
158,New,Old,-0.43333,0.078,0.82,10:32:20.809815,10:34:16.689259,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
90,Old,Old,-0.60667,0.39,0.62,10:31:35.809698,10:34:19.008455,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
136,New,Old,0.08667,-0.39,0.8,10:29:35.809609,10:34:21.127558,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
183,New,Old,-0.43333,-0.234,0.72,10:32:40.815409,10:34:23.430145,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
154,Old,Old,0.78,-0.234,0.75,10:29:50.809628,10:34:25.649268,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
75,New,New,N/A,N/A,0.74,N/A,10:34:27.901807,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
152,New,New,N/A,N/A,0.67,N/A,10:34:30.137632,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
137,New,Old,0.26,0.39,0.65,10:32:05.810046,10:34:32.306689,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
92,New,New,N/A,N/A,0.79,N/A,10:34:34.459111,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
72,New,Old,-0.60667,0.078,0.65,10:32:35.809818,10:34:36.744961,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
52,New,New,N/A,N/A,0.58,N/A,10:34:38.897464,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
226,New,Old,0.26,0.078,0.65,10:30:20.809661,10:34:40.983006,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
219,Old,New,N/A,N/A,1.05,N/A,10:34:43.135447,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
189,New,Old,-0.26,0.234,0.94,10:32:30.804252,10:34:45.688233,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
44,New,Old,-0.08667,-0.234,1.69,10:30:45.804133,10:34:48.124184,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
48,New,Old,0.26,0.234,0.69,10:29:05.809581,10:34:51.310692,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
186,Old,New,N/A,N/A,1.15,N/A,10:34:53.496935,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
220,New,New,N/A,N/A,0.82,N/A,10:34:56.149859,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
98,Old,Old,-0.60667,0.234,0.82,10:32:45.804357,10:34:58.469110,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
199,New,Old,0.78,-0.078,0.82,10:31:15.804174,10:35:00.788388,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
54,New,Old,-0.26,-0.234,0.9,10:31:30.804168,10:35:03.107658,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
177,New,Old,0.78,0.078,0.77,10:30:00.804072,10:35:05.510311,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
140,New,Old,0.43333,0.39,0.75,10:29:45.803716,10:35:07.779491,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
239,New,New,N/A,N/A,2.02,N/A,10:35:10.031994,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
138,Old,Old,-0.78,-0.234,1.65,10:29:00.803976,10:35:13.552591,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
1,New,New,N/A,N/A,0.84,N/A,10:35:16.706058,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
159,New,Old,0.43333,0.078,1.28,10:30:30.804144,10:35:19.042044,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
25,Old,New,N/A,N/A,1.2,N/A,10:35:21.827949,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
191,New,New,N/A,N/A,1.4,N/A,10:35:24.531452,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
233,New,Old,-0.60667,-0.078,0.92,10:28:55.798401,10:35:27.434725,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
58,Old,Old,0.08667,-0.234,0.87,10:30:40.798558,10:35:29.854489,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
88,Old,Old,-0.08667,-0.39,0.8,10:29:15.804155,10:35:32.223347,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
91,New,New,N/A,N/A,0.82,N/A,10:35:34.525876,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
42,Old,Old,-0.26,0.078,1.09,10:28:50.809476,10:35:36.845150,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
49,New,Old,0.60667,-0.078,0.99,10:31:25.815604,10:35:39.431453,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
165,New,Old,-0.08667,0.39,1.0,10:29:20.809579,10:35:41.917452,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
225,New,Old,0.26,-0.39,0.84,10:30:50.809694,10:35:44.420321,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
70,New,Old,-0.60667,-0.234,1.58,10:30:10.798514,10:35:46.756216,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
93,New,Old,-0.43333,0.39,1.8,10:28:45.804018,10:35:49.843266,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
147,New,New,N/A,N/A,0.87,N/A,10:35:53.146615,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
234,New,New,N/A,N/A,0.77,N/A,10:35:55.515925,016,2019_Aug_09_1026,PACOLO,3.1.5,59.94420249261127,
